id;estado;fc;fm;fecha;codigo;cliente;tipo_envio;numini;numfin;totenvio;entregado;uc_id;um_id;fpago
379;1;3/02/2022 00:00;29/08/2022;3/02/2022 00:00;PRE-380;MILAGRO PECUARIO S.A.;GUIA MADRE;852351;852380;30;1;;;PREPAGO
380;1;3/02/2022 00:00;29/08/2022;3/02/2022 00:00;GUA-8570;IMPORTADORA FIESTA Y CIA LTDA;GUIA MADRE;854551;856550;2000;1;;;CREDITO
381;1;2/02/2022 00:00;29/08/2022;2/02/2022 00:00;CHM;AGENCIA CHIMALTENANGO;GUIA MADRE;856551;856850;300;1;;;GUIAS EN BLANCO
382;1;2/02/2022 00:00;29/08/2022;2/02/2022 00:00;JUT;AGENCIA JUTIAPA;GUIA MADRE;856851;857150;300;1;;;POR COBRAR
383;1;4/02/2022 00:00;29/08/2022;4/02/2022 00:00;MAZ;AGENCIA MAZATENANGO;GUIA MADRE;857451;857750;300;1;;;POR COBRAR
384;1;3/02/2022 00:00;29/08/2022;3/02/2022 00:00;PRE-186;MULTIPRODUCTOS VETERINARIOS S,A.;GUIA MADRE;857751;857850;100;1;;;PREPAGO
385;1;3/02/2022 00:00;29/08/2022;3/02/2022 00:00;XCO-98;FLECHAS ALVAREZ ,S.A;GUIA MADRE;857851;857950;100;1;;;POR COBRAR
386;1;3/02/2022 00:00;29/08/2022;3/02/2022 00:00;XCO-762;ACCESORIOS Y MODA MC;GUIA MADRE;857951;858000;50;0;;;POR COBRAR
387;1;3/02/2022 00:00;29/08/2022;3/02/2022 00:00;ESC;AGENCIA ESCUINTLA;GUIA MADRE;858001;858300;300;1;;;GUIA EN BLANCO
388;1;4/02/2022 00:00;29/08/2022;4/02/2022 00:00;XCO-93;MO AUTO (CARROS);GUIA MADRE;858301;858450;150;1;;;POR COBRAR
389;1;4/02/2022 00:00;29/08/2022;4/02/2022 00:00;V03-1011;GARE DE CREACION, S.A.;GUIA MADRE;858451;858550;100;1;;;CREDITO
390;1;4/02/2022 00:00;29/08/2022;4/02/2022 00:00;XCO-187;COFI?O STAHL;GUIA MADRE;858751;858850;100;1;;;POR COBRAR
391;1;5/02/2022 00:00;29/08/2022;5/02/2022 00:00;XCO-954;DELIMASH;GUIA MADRE;858951;859000;50;1;;;POR COBRAR
392;1;5/02/2022 00:00;29/08/2022;5/02/2022 00:00;XCO-1032;SERVI FILM;GUIA MADRE;859001;859050;50;1;;;POR COBRAR
393;1;11/02/2022 00:00;29/08/2022;11/02/2022 00:00;BAR;AGENCIA BARBERENA;GUIA MADRE;859251;859550;300;1;;;GUIAS EN BLANCO
394;1;7/02/2022 00:00;29/08/2022;7/02/2022 00:00;XCO-989;DISTRIBUIDORA EL PACIFICO;GUIA MADRE;859551;859600;50;1;;;POR COBRAR
